name,year,certifi,time,Genre,Vote,Metascore,Rating
Zack Snyder's Justice League,(2021),R,242 min,"Action, Adventure, Fantasy","310,536",54        ,8.1
Aspirants,(2021– ),No data,45 min,Drama,"273,167",No data,9.7
WandaVision,(2021),TV-PG,350 min,"Action, Comedy, Drama","191,869",No data,8.0
Radhe,(2021),TV-MA,135 min,"Action, Crime, Thriller","164,092",No data,1.8
Godzilla vs. Kong,(2021),PG-13,113 min,"Action, Sci-Fi, Thriller","150,853",59        ,6.4
Army of the Dead,(2021),R,148 min,"Action, Crime, Horror","125,695",57        ,5.8
The Falcon and the Winter Soldier,(2021),TV-14,50 min,"Action, Adventure, Drama","124,199",No data,7.4
Mortal Kombat,(2021),R,110 min,"Action, Adventure, Fantasy","120,395",44        ,6.2
Nobody,(I) (2021),R,92 min,"Action, Crime, Drama","118,545",64        ,7.4
Raya and the Last Dragon,(2021),PG,107 min,"Animation, Action, Adventure","92,455",75        ,7.4
Cruella,(2021),PG-13,134 min,"Comedy, Crime","87,462",59        ,7.4
Lupin,(2021– ),TV-MA,45 min,"Action, Crime, Drama","78,678",No data,7.5
The Tomorrow War,(2021),PG-13,140 min,"Action, Adventure, Drama","72,909",45        ,6.7
Invincible,(2021– ),TV-MA,364 min,"Animation, Action, Adventure","72,586",No data,8.8
Loki,(2021– ),TV-14,No data,"Action, Adventure, Fantasy","71,434",No data,8.9
Wrath of Man,(2021),R,119 min,"Action, Crime, Thriller","71,054",57        ,7.2
Mare of Easttown,(2021),TV-MA,410 min,"Crime, Drama, Mystery","69,336",No data,8.5
The Little Things,(2021),R,128 min,"Crime, Drama, Mystery","65,710",54        ,6.3
The Mitchells vs the Machines,(2021),PG,113 min,"Animation, Adventure, Comedy","64,830",80        ,7.7
The Conjuring: The Devil Made Me Do It,(2021),R,112 min,"Horror, Mystery, Thriller","62,027",53        ,6.4
Master,(2021),Not Rated,179 min,"Action, Thriller","60,589",No data,7.9
Coming 2 America,(2021),PG-13,110 min,Comedy,"58,912",52        ,5.3
The Dig,(2021),PG-13,112 min,"Biography, Drama, History","58,781",73        ,7.1
Shadow and Bone,(2021– ),TV-14,No data,"Action, Adventure, Drama","57,023",No data,7.7
Tandav,(2021– ),TV-14,30 min,"Drama, Thriller","55,516",No data,3.8
Luca,(2021),PG,95 min,"Animation, Adventure, Comedy","54,612",71        ,7.5
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","54,567",No data,9.9
The Woman in the Window,(2021),R,100 min,"Crime, Drama, Mystery","53,591",41        ,5.7
Judas and the Black Messiah,(2021),R,126 min,"Biography, Drama, History","52,945",85        ,7.5
The White Tiger,(2021),R,125 min,"Crime, Drama","50,865",76        ,7.1
The One Where They Get Back Together,(2021 TV Special),TV-14,104 min,"Comedy, Romance","47,385",No data,8.1
Behind Her Eyes,(2021),TV-MA,298 min,"Drama, Mystery, Thriller","45,900",No data,7.2
Tom Clancy's Without Remorse,(2021),R,109 min,"Action, Thriller, War","43,460",41        ,5.8
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","40,034",No data,9.9
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","38,354",No data,9.9
Outside the Wire,(2021),R,114 min,"Action, Adventure, Fantasy","36,618",45        ,5.4
Stowaway,(2021),TV-MA,116 min,"Drama, Sci-Fi, Thriller","35,550",63        ,5.6
Those Who Wish Me Dead,(2021),R,100 min,"Action, Drama, Thriller","35,280",59        ,6.0
Thunder Force,(2021),PG-13,106 min,"Action, Adventure, Comedy","34,747",34        ,4.4
Ginny & Georgia,(2021– ),TV-14,No data,"Comedy, Drama","34,040",No data,7.5
Boss Level,(2021),TV-MA,94 min,"Action, Mystery, Sci-Fi","33,857",56        ,6.9
Black Widow,(2021),PG-13,133 min,"Action, Adventure, Sci-Fi","32,611",68        ,7.1
The Serpent,(2021),TV-MA,458 min,"Crime, Drama, Thriller","32,043",No data,7.7
Jupiter's Legacy,(2021),TV-MA,56 min,"Action, Adventure, Drama","30,461",No data,6.8
Sweet Tooth,(2021– ),TV-14,No data,"Action, Adventure, Drama","30,283",No data,8.0
Fate: The Winx Saga,(2021– ),TV-MA,No data,"Action, Adventure, Drama","29,923",No data,6.9
The Mauritanian,(2021),R,129 min,"Drama, Thriller","29,676",53        ,7.4
Malcolm & Marie,(2021),R,106 min,"Drama, Romance","29,472",53        ,6.7
F9: The Fast Saga,(2021),PG-13,143 min,"Action, Adventure, Crime","28,141",58        ,5.5
Drishyam 2,(2021),No data,152 min,"Crime, Drama, Thriller","28,117",No data,8.7
Spiral,(2021),R,93 min,"Crime, Horror, Mystery","25,951",40        ,5.3
Oxygen,(2021),TV-14,100 min,"Drama, Fantasy, Sci-Fi","25,788",67        ,6.5
Inside,(2021 TV Special),TV-MA,87 min,"Comedy, Drama, Music","25,738",No data,8.8
Tom and Jerry,(2021),PG,101 min,"Animation, Comedy, Family","25,385",32        ,5.3
Chaos Walking,(2021),PG-13,109 min,"Action, Adventure, Fantasy","25,224",38        ,5.8
In the Heights,(2021),PG-13,143 min,"Drama, Music, Musical","24,966",84        ,7.5
Racket Boys,(2021– ),TV-14,80 min,"Comedy, Drama, Sport","24,575",No data,1.0
Seaspiracy,(2021),TV-MA,89 min,"Documentary, Adventure","24,326",No data,8.2
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","23,844",No data,9.6
Cherry,(2021),R,142 min,"Crime, Drama","23,433",44        ,6.6
Things Heard & Seen,(2021),TV-MA,121 min,"Drama, Horror, Mystery","22,896",49        ,5.3
Resident Alien,(2021– ),TV-14,44 min,"Comedy, Drama, Mystery","22,071",No data,8.2
It's a Sin,(2021),TV-MA,239 min,"Comedy, Drama, History","22,030",No data,8.7
Anne Boleyn,(2021– ),No data,60 min,"Drama, History","21,891",No data,3.9
 WandaVision,(2021),TV-PG,30 min,"Action, Comedy, Drama","21,669",No data,7.5
 Loki,(2021– ),TV-14,51 min,"Action, Adventure, Fantasy","21,635",No data,8.8
Redemption Day,(2021),R,99 min,"Action, Drama, Thriller","21,509",22        ,6.4
